device,arquivo,total_packets,total_bytes,avg_packet_size,max_packet_size,min_packet_size,tcp_packets,udp_packets,dns_packets,icmp_packets,arp_packets,unique_source_ips,unique_destination_ips,unique_ports,capture_duration,packets_per_second,bytes_per_second,tcp_ratio,udp_ratio,dns_ratio,icmp_ratio
google-home-mini,2021-08-03_23:04:18.20s.pcap,266,169755,638.1766917293234,1392,66,7,251,4,8,0,7,8,10,15.27856707572937,17.410009635167416,11110.662351946785,0.02631578947368421,0.943609022556391,0.015037593984962405,0.03007518796992481
google-home-mini,2021-08-04_03:14:35.20s.pcap,245,161985,661.1632653061224,1392,42,4,239,0,0,2,4,4,6,11.362957954406738,21.561287209109583,14255.531055378024,0.0163265306122449,0.9755102040816327,0.0,0.0
smartlife-bulb,2021-08-02_07:13:35.38s.pcap,45,5011,111.35555555555555,354,42,38,1,0,0,6,3,4,5,31.1354501247406,1.4452978781328896,160.94194816275353,0.8444444444444444,0.022222222222222223,0.0,0.0
smartlife-bulb,2021-08-02_02:24:57.38s.pcap,41,4750,115.85365853658537,354,42,36,1,0,0,4,3,4,5,30.681912183761597,1.3362922022082853,154.81434049974035,0.8780487804878049,0.024390243902439025,0.0,0.0
smartlife-bulb,2021-08-02_00:13:41.38s.pcap,43,4915,114.30232558139535,354,42,37,1,0,0,5,3,4,5,27.33966612815857,1.572806331958532,179.7754214320043,0.8604651162790697,0.023255813953488372,0.0,0.0
smartlife-bulb,2021-08-02_06:47:20.38s.pcap,44,4957,112.6590909090909,354,42,37,1,0,0,6,3,4,5,30.03625202178955,1.4648964846905854,165.03390624116435,0.8409090909090909,0.022727272727272728,0.0,0.0
smartlife-bulb,2021-08-01_23:47:18.38s.pcap,40,4803,120.075,354,42,34,2,0,0,4,3,4,5,30.317118167877197,1.3193866177683866,158.425348128539,0.85,0.05,0.0,0.0
smartlife-bulb,2021-08-02_03:43:39.38s.pcap,47,5983,127.29787234042553,354,42,34,5,0,0,8,4,5,7,37.26832699775696,1.2611244932682049,160.53846474943978,0.723404255319149,0.10638297872340426,0.0,0.0
smartlife-bulb,2021-08-02_05:28:34.38s.pcap,44,5257,119.47727272727273,354,42,35,3,0,0,6,3,4,5,35.799813985824585,1.2290566654179373,146.8443384114113,0.7954545454545454,0.06818181818181818,0.0,0.0
smartlife-bulb,2021-08-02_04:36:13.38s.pcap,46,5041,109.58695652173913,354,42,37,1,0,0,8,3,4,5,35.90324592590332,1.2812212047605456,140.40513246082412,0.8043478260869565,0.021739130434782608,0.0,0.0
smartlife-bulb,2021-08-01_22:28:25.38s.pcap,45,4849,107.75555555555556,354,42,36,1,0,0,8,3,4,5,31.58226990699768,1.4248500862197164,153.53551262398676,0.8,0.022222222222222223,0.0,0.0
smartlife-bulb,2021-08-02_07:39:45.38s.pcap,45,5011,111.35555555555555,354,42,38,1,0,0,6,3,4,5,31.338937044143677,1.4359134113774663,159.89693565361077,0.8444444444444444,0.022222222222222223,0.0,0.0
smartlife-bulb,2021-08-01_21:35:52.38s.pcap,44,5123,116.43181818181819,354,42,34,3,0,0,7,4,5,7,30.012298822402954,1.466065637303191,170.69668772509655,0.7727272727272727,0.06818181818181818,0.0,0.0
smartlife-bulb,2021-08-01_23:21:05.38s.pcap,44,4957,112.6590909090909,354,42,37,1,0,0,6,3,4,5,30.86209011077881,1.4256973472004957,160.6177670471104,0.8409090909090909,0.022727272727272728,0.0,0.0
smartlife-bulb,2021-08-02_01:32:25.38s.pcap,48,5324,110.91666666666667,354,42,41,1,0,0,6,3,4,5,30.584413051605225,1.569426881562493,174.07559827997318,0.8541666666666666,0.020833333333333332,0.0,0.0
smartlife-bulb,2021-08-02_09:24:29.38s.pcap,47,5095,108.40425531914893,354,42,38,1,0,0,8,3,4,5,31.124414920806885,1.5100685464959593,163.6978562637641,0.8085106382978723,0.02127659574468085,0.0,0.0
smartlife-bulb,2021-08-02_06:20:59.38s.pcap,40,4803,120.075,354,42,34,2,0,0,4,3,4,5,30.907737970352173,1.2941742950703625,155.39797848057378,0.85,0.05,0.0,0.0
smartlife-bulb,2021-08-02_05:02:24.38s.pcap,46,5241,113.93478260869566,354,42,38,2,0,0,6,3,4,5,35.79834485054016,1.2849756096839742,146.40341674681974,0.8260869565217391,0.043478260869565216,0.0,0.0
smartlife-bulb,2021-08-02_08:58:18.38s.pcap,44,4957,112.6590909090909,354,42,37,1,0,0,6,3,4,5,31.036132097244263,1.4177024334777468,159.7170673352089,0.8409090909090909,0.022727272727272728,0.0,0.0
smartlife-bulb,2021-08-02_02:51:15.38s.pcap,48,5125,106.77083333333333,354,42,37,1,0,0,10,3,4,5,31.200949907302856,1.5384147002769675,164.25781956082204,0.7708333333333334,0.020833333333333332,0.0,0.0
smartlife-bulb,2021-08-01_21:09:34.38s.pcap,34,4444,130.7058823529412,354,42,24,4,0,0,6,3,4,5,32.91786813735962,1.032873692127475,135.00266728866174,0.7058823529411765,0.11764705882352941,0.0,0.0
smartlife-bulb,2021-08-02_16:45:31.38s.pcap,45,5011,111.35555555555555,354,42,38,1,0,0,6,3,4,5,30.003071069717407,1.499846462231636,167.0162360498384,0.8444444444444444,0.022222222222222223,0.0,0.0
smartlife-bulb,2021-08-02_05:54:48.37s.pcap,43,5027,116.90697674418605,354,42,35,2,0,0,6,3,4,5,30.907219886779785,1.3912606878754814,162.64808088255919,0.813953488372093,0.046511627906976744,0.0,0.0
smartlife-bulb,2021-08-02_08:32:07.38s.pcap,45,5437,120.82222222222222,354,42,34,3,0,0,8,4,5,7,32.03851389884949,1.404559529261311,169.70200356874994,0.7555555555555555,0.06666666666666667,0.0,0.0
smartlife-bulb,2021-08-02_01:58:40.38s.pcap,44,5057,114.93181818181819,354,42,34,2,0,0,8,3,4,5,30.10459589958191,1.4615708560502907,167.98099588741636,0.7727272727272727,0.045454545454545456,0.0,0.0
smartlife-bulb,2021-08-02_00:39:58.38s.pcap,47,5498,116.97872340425532,354,42,41,1,0,0,5,3,4,5,30.454185962677002,1.5433017995490226,180.5334743387346,0.8723404255319149,0.02127659574468085,0.0,0.0
smartlife-bulb,2021-08-02_01:06:14.38s.pcap,53,6138,115.81132075471699,354,42,47,1,0,0,5,3,4,6,35.14408898353577,1.508077219609515,174.65241460307928,0.8867924528301887,0.018867924528301886,0.0,0.0
smartlife-bulb,2021-08-02_04:09:55.39s.pcap,39,5285,135.51282051282053,354,42,31,4,0,0,4,4,5,7,30.723227977752686,1.2693978649717632,172.01968503527613,0.7948717948717948,0.10256410256410256,0.0,0.0
smartlife-bulb,2021-08-02_08:05:55.38s.pcap,43,4741,110.25581395348837,354,42,34,1,0,0,8,3,4,5,31.704841136932373,1.356259752707296,149.53552296709975,0.7906976744186046,0.023255813953488372,0.0,0.0
smartlife-bulb,2021-08-02_16:49:26.38s.pcap,45,5011,111.35555555555555,354,42,38,1,0,0,6,3,4,5,31.593640089035034,1.4243372993167005,158.6078712639108,0.8444444444444444,0.022222222222222223,0.0,0.0
smartlife-bulb,2021-08-01_22:54:52.38s.pcap,43,4915,114.30232558139535,354,42,37,1,0,0,5,3,4,5,28.31303095817566,1.5187353153224783,173.59497848395304,0.8604651162790697,0.023255813953488372,0.0,0.0
smartlife-bulb,2021-08-02_03:17:26.38s.pcap,44,4957,112.6590909090909,354,42,37,1,0,0,6,3,4,5,30.830246925354004,1.4271698863305415,160.7836619668294,0.8409090909090909,0.022727272727272728,0.0,0.0
smartlife-bulb,2021-08-01_22:02:07.38s.pcap,50,5821,116.42,354,42,37,3,0,0,10,4,5,7,33.675570011138916,1.4847558625870751,172.8552775223873,0.74,0.06,0.0,0.0
smartlife-bulb,2021-08-01_20:41:57.38s.pcap,40,4331,108.275,354,42,33,1,0,0,6,3,4,5,30.026139974594116,1.3321725680971654,144.2409848107206,0.825,0.025,0.0,0.0
smartlife-bulb,2021-08-01_22:29:05.38s.pcap,42,5212,124.0952380952381,354,42,30,4,0,0,8,3,4,5,31.501966953277588,1.3332500812502488,165.44998627324517,0.7142857142857143,0.09523809523809523,0.0,0.0
smartlife-bulb,2021-08-01_22:55:32.38s.pcap,42,4711,112.16666666666667,354,42,35,1,0,0,6,3,4,5,35.158422231674194,1.1945928552550982,133.9934985977802,0.8333333333333334,0.023809523809523808,0.0,0.0
smartlife-bulb,2021-08-02_08:58:58.38s.pcap,45,4825,107.22222222222223,354,42,34,1,0,0,10,3,4,5,33.09053301811218,1.3599055649955576,145.81209669119033,0.7555555555555555,0.022222222222222223,0.0,0.0
smartlife-bulb,2021-08-02_06:48:00.38s.pcap,39,4573,117.25641025641026,354,42,34,1,0,0,4,3,4,5,30.1366229057312,1.2941065135929088,151.74228427334288,0.8717948717948718,0.02564102564102564,0.0,0.0
smartlife-bulb,2021-08-02_01:33:05.37s.pcap,43,5045,117.32558139534883,354,42,34,2,0,0,6,3,4,5,31.057095050811768,1.384546749451252,162.44275234840853,0.7906976744186046,0.046511627906976744,0.0,0.0
smartlife-bulb,2021-08-02_00:40:38.38s.pcap,47,5670,120.63829787234043,356,42,39,1,0,0,7,3,4,6,33.440715074539185,1.4054723379938867,169.55379056224123,0.8297872340425532,0.02127659574468085,0.0,0.0
smartlife-bulb,2021-08-02_08:06:35.38s.pcap,47,5883,125.17021276595744,354,42,37,4,0,0,6,4,5,7,36.02587914466858,1.3046177113752813,163.29927651108042,0.7872340425531915,0.0851063829787234,0.0,0.0
smartlife-bulb,2021-08-02_05:03:04.38s.pcap,43,5000,116.27906976744185,354,42,34,2,0,0,6,3,4,5,35.793546199798584,1.2013338873990074,139.68998690686132,0.7906976744186046,0.046511627906976744,0.0,0.0
smartlife-bulb,2021-08-02_08:32:46.38s.pcap,47,5095,108.40425531914893,354,42,38,1,0,0,8,3,4,5,31.7151038646698,1.4819437514867284,160.6490088047847,0.8085106382978723,0.02127659574468085,0.0,0.0
smartlife-bulb,2021-08-02_09:25:08.38s.pcap,43,4741,110.25581395348837,354,42,34,1,0,0,8,3,4,5,31.085828065872192,1.3832669957795936,152.51322853467565,0.7906976744186046,0.023255813953488372,0.0,0.0
smartlife-bulb,2021-08-01_21:36:32.38s.pcap,36,3989,110.80555555555556,354,42,30,1,0,0,5,3,4,5,28.03069305419922,1.2843064540142335,142.3082901406327,0.8333333333333334,0.027777777777777776,0.0,0.0
smartlife-bulb,2021-08-01_23:21:44.39s.pcap,44,4957,112.6590909090909,354,42,37,1,0,0,6,3,4,5,30.359034061431885,1.4493214741603917,163.2792397139332,0.8409090909090909,0.022727272727272728,0.0,0.0
smartlife-bulb,2021-08-02_05:55:27.38s.pcap,44,4957,112.6590909090909,354,42,37,1,0,0,6,3,4,5,30.895217895507812,1.42416862534566,160.44554263269177,0.8409090909090909,0.022727272727272728,0.0,0.0
smartlife-bulb,2021-08-01_23:47:58.38s.pcap,42,4973,118.4047619047619,354,42,34,2,0,0,6,3,4,5,30.354376077651978,1.3836555194729225,163.83140234140103,0.8095238095238095,0.047619047619047616,0.0,0.0
smartlife-bulb,2021-08-01_20:42:37.38s.pcap,39,4401,112.84615384615384,354,42,31,2,0,0,6,3,4,5,32.15148591995239,1.2130077003936417,136.88325357519017,0.7948717948717948,0.05128205128205128,0.0,0.0
smartlife-bulb,2021-08-02_00:14:21.38s.pcap,40,4615,115.375,354,42,34,1,0,0,5,3,4,5,27.049124002456665,1.4787909581237124,170.61550679352334,0.85,0.025,0.0,0.0
smartlife-bulb,2021-08-02_02:25:37.38s.pcap,44,4957,112.6590909090909,354,42,37,1,0,0,6,3,4,5,30.653057098388672,1.4354196339624778,161.71307103527278,0.8409090909090909,0.022727272727272728,0.0,0.0
smartlife-bulb,2021-08-02_05:29:14.38s.pcap,44,5133,116.6590909090909,354,42,36,2,0,0,6,3,4,5,35.94709897041321,1.2240208879224121,142.79316403876683,0.8181818181818182,0.045454545454545456,0.0,0.0
smartlife-bulb,2021-08-01_22:02:47.38s.pcap,46,5041,109.58695652173913,354,42,37,1,0,0,8,3,4,5,33.30456209182739,1.3811921583946585,151.36064501016247,0.8043478260869565,0.021739130434782608,0.0,0.0
